"No.","Time","Source","Destination","Protocol","Length","Info"
"165","12.841258","192.168.0.108","192.168.0.102","TCP","54","1699  >  0 [SYN] Seq=0 Win=512 Len=0"
"166","12.841258","192.168.0.108","192.168.0.102","TCP","54","1700  >  0 [SYN] Seq=0 Win=512 Len=0"
"167","12.841258","192.168.0.108","192.168.0.102","TCP","54","1701  >  0 [SYN] Seq=0 Win=512 Len=0"
"168","12.841258","192.168.0.108","192.168.0.102","TCP","54","1702  >  0 [SYN] Seq=0 Win=512 Len=0"
"169","12.841258","192.168.0.108","192.168.0.102","TCP","54","1703  >  0 [SYN] Seq=0 Win=512 Len=0"
"170","12.841720","192.168.0.108","192.168.0.102","TCP","54","1704  >  0 [SYN] Seq=0 Win=512 Len=0"
"171","12.841720","192.168.0.108","192.168.0.102","TCP","54","1705  >  0 [SYN] Seq=0 Win=512 Len=0"
"172","12.841720","192.168.0.108","192.168.0.102","TCP","54","1706  >  0 [SYN] Seq=0 Win=512 Len=0"
"173","12.841720","192.168.0.108","192.168.0.102","TCP","54","1707  >  0 [SYN] Seq=0 Win=512 Len=0"
"174","12.841720","192.168.0.108","192.168.0.102","TCP","54","1708  >  0 [SYN] Seq=0 Win=512 Len=0"
"175","12.841720","192.168.0.108","192.168.0.102","TCP","54","1709  >  0 [SYN] Seq=0 Win=512 Len=0"
"176","12.841720","192.168.0.108","192.168.0.102","TCP","54","1710  >  0 [SYN] Seq=0 Win=512 Len=0"
"177","12.841966","192.168.0.108","192.168.0.102","TCP","54","1711  >  0 [SYN] Seq=0 Win=512 Len=0"
"178","12.841966","192.168.0.108","192.168.0.102","TCP","54","1712  >  0 [SYN] Seq=0 Win=512 Len=0"
"179","12.841966","192.168.0.108","192.168.0.102","TCP","54","1713  >  0 [SYN] Seq=0 Win=512 Len=0"
"180","12.841966","192.168.0.108","192.168.0.102","TCP","54","1714  >  0 [SYN] Seq=0 Win=512 Len=0"
"181","12.841966","192.168.0.108","192.168.0.102","TCP","54","1715  >  0 [SYN] Seq=0 Win=512 Len=0"
"182","12.841966","192.168.0.108","192.168.0.102","TCP","54","1716  >  0 [SYN] Seq=0 Win=512 Len=0"
"183","12.841966","192.168.0.108","192.168.0.102","TCP","54","1717  >  0 [SYN] Seq=0 Win=512 Len=0"
"184","12.842219","192.168.0.108","192.168.0.102","TCP","54","1718  >  0 [SYN] Seq=0 Win=512 Len=0"
"185","12.842219","192.168.0.108","192.168.0.102","TCP","54","1719  >  0 [SYN] Seq=0 Win=512 Len=0"
"186","12.842219","192.168.0.108","192.168.0.102","TCP","54","1720  >  0 [SYN] Seq=0 Win=512 Len=0"
"187","12.842219","192.168.0.108","192.168.0.102","TCP","54","1721  >  0 [SYN] Seq=0 Win=512 Len=0"
