"No.","Time","Source","Destination","Protocol","Length","Info"
"5563","1076.894550","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"5575","1081.197789","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"5577","1084.168745","192.168.0.104","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"5581","1087.953933","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"5590","1089.699112","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"5663","1107.718652","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"5828","1139.257690","192.168.0.104","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"5830","1140.282145","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"5834","1141.511163","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"5900","1167.008933","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"5905","1169.670850","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"5907","1170.695107","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6057","1203.667466","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6064","1204.691098","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"6070","1207.660593","192.168.0.104","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"6071","1207.972731","192.168.0.104","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"6074","1209.710428","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"6116","1221.688889","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6117","1221.792723","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6119","1223.736458","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6431","1258.655910","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6440","1261.320217","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"6444","1262.446079","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"6517","1278.727152","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"6520","1279.650555","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"6537","1291.736295","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6681","1312.113688","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6732","1325.728153","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"6740","1331.870642","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"6742","1333.714626","192.168.0.104","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"6744","1335.661860","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"6843","1346.617248","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7030","1380.306439","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7035","1381.539491","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7072","1382.457758","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7137","1392.697988","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7138","1392.700209","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7181","1408.672140","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7337","1425.670378","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7342","1428.741896","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7429","1447.788933","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"7449","1457.722062","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7450","1458.643156","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7479","1464.684940","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7741","1493.767943","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"7799","1501.447185","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7818","1502.471143","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7837","1507.691219","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"7838","1508.716937","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
